Analysis Type:	PANTHER Overrepresentation Test (Released 20240226)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.10536401 Released 2024-01-17
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20580)	upload_1 (659)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
axon ensheathment (GO:0008366)	130	14	4.16	+	3.36	7.42E-05	2.26E-03
regulation of axonogenesis (GO:0050770)	158	17	5.06	+	3.36	1.32E-05	5.10E-04
regulation of cytokine production involved in immune response (GO:0002718)	121	13	3.87	+	3.36	1.36E-04	3.77E-03
regulation of actin filament organization (GO:0110053)	270	29	8.65	+	3.35	1.35E-08	1.09E-06
cellular response to insulin stimulus (GO:0032869)	149	16	4.77	+	3.35	2.41E-05	8.73E-04
positive regulation of leukocyte mediated immunity (GO:0002705)	149	16	4.77	+	3.35	2.41E-05	8.71E-04
positive regulation of innate immune response (GO:0045089)	280	30	8.97	+	3.35	8.02E-09	6.79E-07
symbiont entry into host (GO:0044409)	112	12	3.59	+	3.35	2.50E-04	6.12E-03
regulation of receptor-mediated endocytosis (GO:0048259)	112	12	3.59	+	3.35	2.50E-04	6.11E-03
positive regulation of B cell activation (GO:0050871)	84	9	2.69	+	3.35	1.45E-03	2.49E-02
negative regulation of response to cytokine stimulus (GO:0060761)	84	9	2.69	+	3.35	1.45E-03	2.48E-02
negative regulation of leukocyte activation (GO:0002695)	187	20	5.99	+	3.34	2.55E-06	1.18E-04
amino acid transport (GO:0006865)	131	14	4.19	+	3.34	8.07E-05	2.43E-03
activation of protein kinase activity (GO:0032147)	75	8	2.40	+	3.33	2.71E-03	4.16E-02
receptor internalization (GO:0031623)	75	8	2.40	+	3.33	2.71E-03	4.15E-02
regulation of cell-matrix adhesion (GO:0001952)	122	13	3.91	+	3.33	1.48E-04	4.05E-03
regulation of leukocyte mediated immunity (GO:0002703)	245	26	7.85	+	3.31	9.65E-08	6.31E-06
response to lipopolysaccharide (GO:0032496)	321	34	10.28	+	3.31	1.09E-09	1.16E-07
positive regulation of leukocyte activation (GO:0002696)	359	38	11.50	+	3.31	1.14E-10	1.47E-08
regulation of type I interferon production (GO:0032479)	123	13	3.94	+	3.30	1.61E-04	4.30E-03
positive regulation of protein-containing complex assembly (GO:0031334)	199	21	6.37	+	3.30	1.79E-06	8.69E-05
regulation of lymphocyte proliferation (GO:0050670)	237	25	7.59	+	3.29	1.91E-07	1.18E-05
acute inflammatory response (GO:0002526)	76	8	2.43	+	3.29	2.94E-03	4.44E-02
regulation of postsynapse organization (GO:0099175)	105	11	3.36	+	3.27	5.44E-04	1.16E-02
vascular transport (GO:0010232)	86	9	2.75	+	3.27	1.72E-03	2.85E-02
transport across blood-brain barrier (GO:0150104)	86	9	2.75	+	3.27	1.72E-03	2.84E-02
positive regulation of response to biotic stimulus (GO:0002833)	307	32	9.83	+	3.26	5.01E-09	4.39E-07
amino acid transmembrane transport (GO:0003333)	96	10	3.07	+	3.25	1.00E-03	1.90E-02
regulation of cellular component size (GO:0032535)	375	39	12.01	+	3.25	1.10E-10	1.42E-08
myeloid leukocyte differentiation (GO:0002573)	154	16	4.93	+	3.24	3.62E-05	1.23E-03
regulation of glial cell differentiation (GO:0045685)	77	8	2.47	+	3.24	3.19E-03	4.68E-02
regulation of organic acid transport (GO:0032890)	77	8	2.47	+	3.24	3.19E-03	4.67E-02
regulation of CD4-positive, alpha-beta T cell activation (GO:2000514)	77	8	2.47	+	3.24	3.19E-03	4.67E-02
regulation of immune effector process (GO:0002697)	385	40	12.33	+	3.24	6.50E-11	9.01E-09
neural precursor cell proliferation (GO:0061351)	106	11	3.39	+	3.24	5.90E-04	1.25E-02
positive regulation of endothelial cell migration (GO:0010595)	106	11	3.39	+	3.24	5.90E-04	1.24E-02
positive regulation of cell motility (GO:2000147)	570	59	18.25	+	3.23	1.82E-15	5.55E-13
regulation of regulated secretory pathway (GO:1903305)	126	13	4.03	+	3.22	2.05E-04	5.24E-03
maintenance of location in cell (GO:0051651)	97	10	3.11	+	3.22	1.09E-03	1.94E-02
negative regulation of epithelial cell proliferation (GO:0050680)	136	14	4.35	+	3.21	1.21E-04	3.45E-03
sphingolipid biosynthetic process (GO:0030148)	107	11	3.43	+	3.21	6.39E-04	1.31E-02
regulation of actin cytoskeleton organization (GO:0032956)	341	35	10.92	+	3.21	1.43E-09	1.50E-07
positive regulation of locomotion (GO:0040017)	585	60	18.73	+	3.20	1.58E-15	5.01E-13
negative regulation of NF-kappaB transcription factor activity (GO:0032088)	78	8	2.50	+	3.20	3.46E-03	4.92E-02
positive regulation of cell-substrate adhesion (GO:0010811)	127	13	4.07	+	3.20	2.22E-04	5.56E-03
transition metal ion transport (GO:0000041)	98	10	3.14	+	3.19	1.18E-03	2.08E-02
regulation of cell size (GO:0008361)	196	20	6.28	+	3.19	5.25E-06	2.25E-04
positive regulation of defense response (GO:0031349)	412	42	13.19	+	3.18	3.93E-11	5.55E-09
regulation of adaptive immune response (GO:0002819)	206	21	6.60	+	3.18	3.12E-06	1.43E-04
glial cell development (GO:0021782)	128	13	4.10	+	3.17	2.40E-04	5.96E-03
myelination (GO:0042552)	128	13	4.10	+	3.17	2.40E-04	5.95E-03
positive regulation of hydrolase activity (GO:0051345)	484	49	15.50	+	3.16	1.13E-12	1.98E-10
negative regulation of protein serine/threonine kinase activity (GO:0071901)	89	9	2.85	+	3.16	2.18E-03	3.49E-02
positive regulation of cell activation (GO:0050867)	377	38	12.07	+	3.15	4.72E-10	5.41E-08
negative regulation of MAPK cascade (GO:0043409)	160	16	5.12	+	3.12	5.77E-05	1.81E-03
regulation of epithelial to mesenchymal transition (GO:0010717)	100	10	3.20	+	3.12	1.38E-03	2.39E-02
regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (GO:0002822)	191	19	6.12	+	3.11	1.29E-05	5.07E-04
regulation of response to cytokine stimulus (GO:0060759)	171	17	5.48	+	3.10	3.68E-05	1.24E-03
positive regulation of cytokine production (GO:0001819)	494	49	15.82	+	3.10	2.41E-12	3.83E-10
positive regulation of plasma membrane bounded cell projection assembly (GO:0120034)	111	11	3.55	+	3.09	8.70E-04	1.69E-02
regulation of plasma membrane bounded cell projection assembly (GO:0120032)	202	20	6.47	+	3.09	8.28E-06	3.46E-04
extrinsic apoptotic signaling pathway (GO:0097191)	112	11	3.59	+	3.07	9.37E-04	1.80E-02
regulation of cell projection assembly (GO:0060491)	204	20	6.53	+	3.06	9.59E-06	3.95E-04
regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction (GO:0051896)	245	24	7.85	+	3.06	1.28E-06	6.44E-05
positive regulation of lymphocyte activation (GO:0051251)	327	32	10.47	+	3.06	2.30E-08	1.74E-06
negative regulation of locomotion (GO:0040013)	338	33	10.82	+	3.05	1.47E-08	1.17E-06
positive regulation of peptidyl-tyrosine phosphorylation (GO:0050731)	164	16	5.25	+	3.05	7.76E-05	2.35E-03
negative regulation of cell migration (GO:0030336)	288	28	9.22	+	3.04	1.99E-07	1.22E-05
positive regulation of T cell proliferation (GO:0042102)	103	10	3.30	+	3.03	1.72E-03	2.85E-02
synaptic vesicle cycle (GO:0099504)	145	14	4.64	+	3.02	2.38E-04	5.94E-03
protein autophosphorylation (GO:0046777)	156	15	5.00	+	3.00	1.51E-04	4.07E-03
regulation of cell migration (GO:0030334)	939	90	30.07	+	2.99	6.21E-21	5.26E-18
negative regulation of cell motility (GO:2000146)	303	29	9.70	+	2.99	1.69E-07	1.05E-05
positive regulation of canonical NF-kappaB signal transduction (GO:0043123)	209	20	6.69	+	2.99	1.37E-05	5.31E-04
positive regulation of immune system process (GO:0002684)	997	95	31.93	+	2.98	6.64E-22	8.44E-19
actin cytoskeleton organization (GO:0030036)	546	52	17.48	+	2.97	2.40E-12	3.85E-10
response to calcium ion (GO:0051592)	147	14	4.71	+	2.97	2.75E-04	6.60E-03
myeloid cell differentiation (GO:0030099)	294	28	9.41	+	2.97	3.04E-07	1.81E-05
positive regulation of leukocyte differentiation (GO:1902107)	189	18	6.05	+	2.97	3.90E-05	1.30E-03
positive regulation of hemopoiesis (GO:1903708)	189	18	6.05	+	2.97	3.90E-05	1.30E-03
regulation of immune response (GO:0050776)	914	87	29.27	+	2.97	4.73E-20	3.61E-17
regulation of neurogenesis (GO:0050767)	389	37	12.46	+	2.97	3.96E-09	3.59E-07
regulation of innate immune response (GO:0045088)	432	41	13.83	+	2.96	6.01E-10	6.73E-08
negative regulation of immune response (GO:0050777)	190	18	6.08	+	2.96	4.18E-05	1.38E-03
regulation of inflammatory response (GO:0050727)	380	36	12.17	+	2.96	7.15E-09	6.12E-07
polyol metabolic process (GO:0019751)	95	9	3.04	+	2.96	3.40E-03	4.86E-02
actin filament-based process (GO:0030029)	615	58	19.69	+	2.95	1.84E-13	3.74E-11
regulation of actin filament-based process (GO:0032970)	382	36	12.23	+	2.94	8.21E-09	6.91E-07
positive regulation of small molecule metabolic process (GO:0062013)	138	13	4.42	+	2.94	4.99E-04	1.08E-02
regulation of cytokine-mediated signaling pathway (GO:0001959)	160	15	5.12	+	2.93	2.00E-04	5.16E-03
negative regulation of supramolecular fiber organization (GO:1902904)	160	15	5.12	+	2.93	2.00E-04	5.15E-03
positive regulation of apoptotic signaling pathway (GO:2001235)	139	13	4.45	+	2.92	5.35E-04	1.15E-02
positive regulation of neurogenesis (GO:0050769)	246	23	7.88	+	2.92	4.69E-06	2.05E-04
regulation of locomotion (GO:0040012)	1041	97	33.33	+	2.91	1.16E-21	1.36E-18
myeloid cell homeostasis (GO:0002262)	140	13	4.48	+	2.90	5.73E-04	1.21E-02
actin filament organization (GO:0007015)	280	26	8.97	+	2.90	1.30E-06	6.48E-05
positive regulation of cell development (GO:0010720)	453	42	14.51	+	2.90	7.54E-10	8.21E-08
regulation of supramolecular fiber organization (GO:1902903)	390	36	12.49	+	2.88	1.41E-08	1.13E-06
positive regulation of NF-kappaB transcription factor activity (GO:0051092)	141	13	4.52	+	2.88	6.13E-04	1.27E-02
regulation of cell shape (GO:0008360)	141	13	4.52	+	2.88	6.13E-04	1.27E-02
response to insulin (GO:0032868)	217	20	6.95	+	2.88	2.38E-05	8.69E-04
regulation of cell-substrate adhesion (GO:0010810)	217	20	6.95	+	2.88	2.38E-05	8.67E-04
regulation of cell motility (GO:2000145)	999	92	31.99	+	2.88	3.30E-20	2.64E-17
cell-substrate adhesion (GO:0031589)	185	17	5.92	+	2.87	9.89E-05	2.91E-03
negative regulation of cytokine production (GO:0001818)	294	27	9.41	+	2.87	1.01E-06	5.23E-05
long-chain fatty acid metabolic process (GO:0001676)	109	10	3.49	+	2.87	2.62E-03	4.06E-02
regulation of leukocyte differentiation (GO:1902105)	327	30	10.47	+	2.87	2.60E-07	1.56E-05
regulation of cell activation (GO:0050865)	622	57	19.92	+	2.86	9.89E-13	1.75E-10
regulation of hydrolase activity (GO:0051336)	743	68	23.79	+	2.86	5.74E-15	1.65E-12
negative regulation of nervous system development (GO:0051961)	154	14	4.93	+	2.84	4.43E-04	9.76E-03
negative regulation of immune effector process (GO:0002698)	121	11	3.87	+	2.84	1.76E-03	2.90E-02
positive regulation of cell adhesion (GO:0045785)	486	44	15.56	+	2.83	6.24E-10	6.95E-08
synapse organization (GO:0050808)	343	31	10.98	+	2.82	2.29E-07	1.39E-05
vesicle-mediated transport in synapse (GO:0099003)	155	14	4.96	+	2.82	4.73E-04	1.03E-02
regulation of leukocyte activation (GO:0002694)	565	51	18.09	+	2.82	2.86E-11	4.11E-09
renal system process (GO:0003014)	122	11	3.91	+	2.82	1.88E-03	3.05E-02
leukocyte activation (GO:0045321)	610	55	19.53	+	2.82	4.81E-12	7.18E-10
erythrocyte homeostasis (GO:0034101)	111	10	3.55	+	2.81	3.00E-03	4.51E-02
transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)	422	38	13.51	+	2.81	1.09E-08	9.06E-07
regulation of cytokine production (GO:0001817)	780	70	24.98	+	2.80	5.95E-15	1.68E-12
positive regulation of lymphocyte differentiation (GO:0045621)	134	12	4.29	+	2.80	1.26E-03	2.21E-02
positive regulation of catalytic activity (GO:0043085)	883	79	28.27	+	2.79	1.06E-16	4.27E-14
developmental cell growth (GO:0048588)	112	10	3.59	+	2.79	3.20E-03	4.67E-02
negative regulation of neuron projection development (GO:0010977)	146	13	4.68	+	2.78	8.51E-04	1.66E-02
regulation of G protein-coupled receptor signaling pathway (GO:0008277)	146	13	4.68	+	2.78	8.51E-04	1.66E-02
positive regulation of lipid metabolic process (GO:0045834)	124	11	3.97	+	2.77	2.14E-03	3.43E-02
regulation of anatomical structure size (GO:0090066)	519	46	16.62	+	2.77	5.04E-10	5.69E-08
negative regulation of cell-cell adhesion (GO:0022408)	192	17	6.15	+	2.77	1.56E-04	4.18E-03
negative regulation of neurogenesis (GO:0050768)	147	13	4.71	+	2.76	9.07E-04	1.75E-02
positive regulation of protein secretion (GO:0050714)	147	13	4.71	+	2.76	9.07E-04	1.75E-02
regulation of endothelial cell proliferation (GO:0001936)	136	12	4.35	+	2.76	1.44E-03	2.47E-02
positive regulation of production of molecular mediator of immune response (GO:0002702)	136	12	4.35	+	2.76	1.44E-03	2.46E-02
B cell activation (GO:0042113)	193	17	6.18	+	2.75	1.66E-04	4.40E-03
cellular response to peptide (GO:1901653)	308	27	9.86	+	2.74	2.46E-06	1.16E-04
antigen receptor-mediated signaling pathway (GO:0050851)	160	14	5.12	+	2.73	6.50E-04	1.33E-02
negative regulation of peptidase activity (GO:0010466)	126	11	4.03	+	2.73	2.43E-03	3.81E-02
response to transforming growth factor beta (GO:0071559)	161	14	5.16	+	2.72	6.92E-04	1.41E-02
regulation of response to biotic stimulus (GO:0002831)	519	45	16.62	+	2.71	1.57E-09	1.59E-07
gliogenesis (GO:0042063)	277	24	8.87	+	2.71	1.08E-05	4.35E-04
negative regulation of T cell activation (GO:0050868)	127	11	4.07	+	2.70	2.59E-03	4.01E-02
negative regulation of neuron apoptotic process (GO:0043524)	162	14	5.19	+	2.70	7.35E-04	1.48E-02
regulation of pattern recognition receptor signaling pathway (GO:0062207)	162	14	5.19	+	2.70	7.35E-04	1.48E-02
regulation of nervous system development (GO:0051960)	464	40	14.86	+	2.69	1.52E-08	1.21E-06
regulation of cold-induced thermogenesis (GO:0120161)	151	13	4.84	+	2.69	1.16E-03	2.06E-02
response to wounding (GO:0009611)	430	37	13.77	+	2.69	5.58E-08	3.94E-06
negative regulation of cell projection organization (GO:0031345)	198	17	6.34	+	2.68	2.25E-04	5.63E-03
leukocyte differentiation (GO:0002521)	431	37	13.80	+	2.68	5.92E-08	4.14E-06
negative regulation of kinase activity (GO:0033673)	175	15	5.60	+	2.68	5.26E-04	1.14E-02
regulation of peptidyl-tyrosine phosphorylation (GO:0050730)	222	19	7.11	+	2.67	1.03E-04	3.00E-03
positive regulation of kinase activity (GO:0033674)	304	26	9.73	+	2.67	5.90E-06	2.51E-04
regulation of protein-containing complex assembly (GO:0043254)	421	36	13.48	+	2.67	9.88E-08	6.43E-06
negative regulation of protein kinase activity (GO:0006469)	164	14	5.25	+	2.67	8.30E-04	1.63E-02
negative regulation of inflammatory response (GO:0050728)	164	14	5.25	+	2.67	8.30E-04	1.63E-02
regulation of protein binding (GO:0043393)	129	11	4.13	+	2.66	2.92E-03	4.41E-02
homeostasis of number of cells (GO:0048872)	282	24	9.03	+	2.66	1.45E-05	5.57E-04
positive regulation of nervous system development (GO:0051962)	294	25	9.41	+	2.66	9.81E-06	4.01E-04
response to cytokine (GO:0034097)	824	70	26.39	+	2.65	8.99E-14	2.11E-11
enzyme-linked receptor protein signaling pathway (GO:0007167)	614	52	19.66	+	2.64	1.86E-10	2.25E-08
cellular response to peptide hormone stimulus (GO:0071375)	248	21	7.94	+	2.64	5.27E-05	1.68E-03
adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (GO:0002460)	260	22	8.33	+	2.64	3.57E-05	1.21E-03
intracellular signaling cassette (GO:0141124)	829	70	26.55	+	2.64	1.21E-13	2.63E-11
cellular response to transforming growth factor beta stimulus (GO:0071560)	154	13	4.93	+	2.64	1.39E-03	2.41E-02
cell activation (GO:0001775)	735	62	23.54	+	2.63	3.53E-12	5.44E-10
sphingolipid metabolic process (GO:0006665)	166	14	5.32	+	2.63	9.34E-04	1.80E-02
viral life cycle (GO:0019058)	178	15	5.70	+	2.63	6.28E-04	1.29E-02
positive regulation of developmental growth (GO:0048639)	167	14	5.35	+	2.62	9.91E-04	1.88E-02
protein phosphorylation (GO:0006468)	490	41	15.69	+	2.61	2.33E-08	1.76E-06
exocytosis (GO:0006887)	240	20	7.69	+	2.60	9.84E-05	2.89E-03
positive regulation of leukocyte cell-cell adhesion (GO:1903039)	276	23	8.84	+	2.60	3.04E-05	1.07E-03
cytokine-mediated signaling pathway (GO:0019221)	384	32	12.30	+	2.60	8.97E-07	4.71E-05
negative regulation of cytoskeleton organization (GO:0051494)	156	13	5.00	+	2.60	1.56E-03	2.65E-02
negative regulation of immune system process (GO:0002683)	504	42	16.14	+	2.60	1.76E-08	1.37E-06
regulation of fat cell differentiation (GO:0045598)	132	11	4.23	+	2.60	3.49E-03	4.96E-02
positive regulation of peptidase activity (GO:0010952)	168	14	5.38	+	2.60	1.05E-03	1.90E-02
regulation of hemopoiesis (GO:1903706)	409	34	13.10	+	2.60	4.33E-07	2.51E-05
positive regulation of T cell activation (GO:0050870)	253	21	8.10	+	2.59	7.03E-05	2.17E-03
negative regulation of defense response (GO:0031348)	253	21	8.10	+	2.59	7.03E-05	2.16E-03
immune effector process (GO:0002252)	470	39	15.05	+	2.59	6.43E-08	4.45E-06
regulation of defense response (GO:0031347)	785	65	25.14	+	2.59	2.34E-12	3.79E-10
regulation of immune system process (GO:0002682)	1537	127	49.22	+	2.58	1.12E-23	3.43E-20
regulation of canonical NF-kappaB signal transduction (GO:0043122)	279	23	8.93	+	2.57	3.60E-05	1.22E-03
cellular response to organonitrogen compound (GO:0071417)	546	45	17.48	+	2.57	7.53E-09	6.41E-07
regulation of T cell proliferation (GO:0042129)	182	15	5.83	+	2.57	7.91E-04	1.57E-02
membrane lipid biosynthetic process (GO:0046467)	146	12	4.68	+	2.57	2.62E-03	4.05E-02
regulation of DNA-binding transcription factor activity (GO:0051090)	366	30	11.72	+	2.56	2.75E-06	1.27E-04
regulation of lymphocyte activation (GO:0051249)	501	41	16.04	+	2.56	4.32E-08	3.12E-06
positive regulation of protein kinase activity (GO:0045860)	257	21	8.23	+	2.55	8.80E-05	2.61E-03
hemopoiesis (GO:0030097)	698	57	22.35	+	2.55	9.80E-11	1.28E-08
response to purine-containing compound (GO:0014074)	147	12	4.71	+	2.55	2.77E-03	4.21E-02
positive regulation of MAPK cascade (GO:0043410)	466	38	14.92	+	2.55	1.49E-07	9.37E-06
regulation of cell development (GO:0060284)	836	68	26.77	+	2.54	2.45E-12	3.85E-10
cellular response to cytokine stimulus (GO:0071345)	727	59	23.28	+	2.53	9.20E-11	1.21E-08
plasma membrane organization (GO:0007009)	148	12	4.74	+	2.53	2.93E-03	4.42E-02
regulation of ERK1 and ERK2 cascade (GO:0070372)	296	24	9.48	+	2.53	3.21E-05	1.13E-03
regulation of response to external stimulus (GO:0032101)	1098	89	35.16	+	2.53	5.70E-16	1.93E-13
negative regulation of protein phosphorylation (GO:0001933)	284	23	9.09	+	2.53	4.74E-05	1.55E-03
leukocyte migration (GO:0050900)	247	20	7.91	+	2.53	1.45E-04	3.99E-03
regulation of cell morphogenesis (GO:0022604)	247	20	7.91	+	2.53	1.45E-04	3.99E-03
regulation of cell junction assembly (GO:1901888)	211	17	6.76	+	2.52	4.73E-04	1.03E-02
vesicle-mediated transport (GO:0016192)	1292	104	41.37	+	2.51	1.80E-18	1.02E-15
calcium-mediated signaling (GO:0019722)	174	14	5.57	+	2.51	1.47E-03	2.51E-02
biological process involved in interaction with host (GO:0051701)	150	12	4.80	+	2.50	3.27E-03	4.75E-02
regulation of MAPK cascade (GO:0043408)	650	52	20.81	+	2.50	1.85E-09	1.84E-07
positive regulation of cell-cell adhesion (GO:0022409)	325	26	10.41	+	2.50	1.92E-05	7.14E-04
cell projection morphogenesis (GO:0048858)	500	40	16.01	+	2.50	1.86E-07	1.15E-05
negative regulation of cell adhesion (GO:0007162)	288	23	9.22	+	2.49	5.88E-05	1.84E-03
MAPK cascade (GO:0000165)	213	17	6.82	+	2.49	5.27E-04	1.13E-02
regulation of production of molecular mediator of immune response (GO:0002700)	188	15	6.02	+	2.49	1.10E-03	1.96E-02
positive regulation of molecular function (GO:0044093)	1216	97	38.94	+	2.49	5.36E-17	2.33E-14
cell junction organization (GO:0034330)	541	43	17.32	+	2.48	6.43E-08	4.47E-06
placenta development (GO:0001890)	151	12	4.84	+	2.48	3.45E-03	4.92E-02
leukocyte proliferation (GO:0070661)	151	12	4.84	+	2.48	3.45E-03	4.91E-02
cell chemotaxis (GO:0060326)	214	17	6.85	+	2.48	5.56E-04	1.18E-02
regulation of exocytosis (GO:0017157)	189	15	6.05	+	2.48	1.16E-03	2.06E-02
negative regulation of phosphorylation (GO:0042326)	304	24	9.73	+	2.47	4.91E-05	1.60E-03
plasma membrane bounded cell projection morphogenesis (GO:0120039)	495	39	15.85	+	2.46	3.31E-07	1.96E-05
positive regulation of cellular component biogenesis (GO:0044089)	508	40	16.27	+	2.46	2.30E-07	1.39E-05
positive regulation of intracellular signal transduction (GO:1902533)	1042	82	33.37	+	2.46	3.95E-14	1.00E-11
regulation of synapse organization (GO:0050807)	242	19	7.75	+	2.45	3.13E-04	7.25E-03
chemotaxis (GO:0006935)	344	27	11.02	+	2.45	1.88E-05	7.01E-04
positive regulation of cell projection organization (GO:0031346)	358	28	11.46	+	2.44	2.19E-05	8.08E-04
cellular lipid catabolic process (GO:0044242)	205	16	6.56	+	2.44	9.65E-04	1.84E-02
taxis (GO:0042330)	346	27	11.08	+	2.44	3.25E-05	1.14E-03
cell migration (GO:0016477)	900	70	28.82	+	2.43	9.03E-12	1.34E-09
regulation of plasma membrane bounded cell projection organization (GO:0120035)	656	51	21.01	+	2.43	5.65E-09	4.92E-07
neuron projection morphogenesis (GO:0048812)	490	38	15.69	+	2.42	6.23E-07	3.46E-05
regulation of cell adhesion (GO:0030155)	787	61	25.20	+	2.42	1.77E-10	2.15E-08
regulation of cell projection organization (GO:0031344)	672	52	21.52	+	2.42	4.56E-09	4.05E-07
positive regulation of phosphorylation (GO:0042327)	622	48	19.92	+	2.41	2.02E-08	1.56E-06
regulation of developmental growth (GO:0048638)	324	25	10.37	+	2.41	7.43E-05	2.26E-03
response to bacterium (GO:0009617)	687	53	22.00	+	2.41	3.53E-09	3.32E-07
cellular response to nitrogen compound (GO:1901699)	623	48	19.95	+	2.41	2.12E-08	1.61E-06
regulation of cytoskeleton organization (GO:0051493)	521	40	16.68	+	2.40	3.77E-07	2.21E-05
regulation of peptidase activity (GO:0052547)	300	23	9.61	+	2.39	1.63E-04	4.33E-03
regulation of synapse structure or activity (GO:0050803)	248	19	7.94	+	2.39	4.24E-04	9.43E-03
positive regulation of protein phosphorylation (GO:0001934)	576	44	18.44	+	2.39	1.07E-07	6.90E-06
cellular response to oxygen-containing compound (GO:1901701)	1054	80	33.75	+	2.37	9.12E-13	1.63E-10
regulation of kinase activity (GO:0043549)	527	40	16.88	+	2.37	4.88E-07	2.78E-05
developmental maturation (GO:0021700)	291	22	9.32	+	2.36	2.58E-04	6.28E-03
membrane lipid metabolic process (GO:0006643)	212	16	6.79	+	2.36	1.37E-03	2.39E-02
regulation of leukocyte cell-cell adhesion (GO:1903037)	371	28	11.88	+	2.36	3.20E-05	1.13E-03
regulation of intracellular signal transduction (GO:1902531)	1780	134	57.00	+	2.35	2.83E-21	2.70E-18
positive regulation of cellular component organization (GO:0051130)	1118	84	35.80	+	2.35	2.80E-13	5.47E-11
viral process (GO:0016032)	254	19	8.13	+	2.34	8.13E-04	1.60E-02
negative regulation of cell development (GO:0010721)	281	21	9.00	+	2.33	4.03E-04	9.04E-03
carboxylic acid transport (GO:0046942)	308	23	9.86	+	2.33	2.02E-04	5.18E-03
positive regulation of cell differentiation (GO:0045597)	871	65	27.89	+	2.33	3.31E-10	3.88E-08
regulation of catalytic activity (GO:0050790)	1407	105	45.05	+	2.33	2.80E-16	1.01E-13
positive regulation of protein transport (GO:0051222)	255	19	8.17	+	2.33	8.33E-04	1.63E-02
organic acid transport (GO:0015849)	309	23	9.89	+	2.32	2.09E-04	5.33E-03
regulation of lymphocyte differentiation (GO:0045619)	215	16	6.88	+	2.32	2.47E-03	3.84E-02
negative regulation of multicellular organismal process (GO:0051241)	1116	83	35.74	+	2.32	6.22E-13	1.14E-10
regulation of secretion by cell (GO:1903530)	565	42	18.09	+	2.32	5.74E-07	3.22E-05
innate immune response (GO:0045087)	767	57	24.56	+	2.32	3.57E-09	3.31E-07
lipid transport (GO:0006869)	350	26	11.21	+	2.32	7.75E-05	2.35E-03
cellular response to organic substance (GO:0071310)	1724	128	55.20	+	2.32	1.05E-19	7.63E-17
positive regulation of DNA-binding transcription factor activity (GO:0051091)	229	17	7.33	+	2.32	1.74E-03	2.87E-02
regulation of cell-cell adhesion (GO:0022407)	485	36	15.53	+	2.32	3.00E-06	1.38E-04
regulation of secretion (GO:0051046)	620	46	19.85	+	2.32	1.49E-07	9.36E-06
lymphocyte activation (GO:0046649)	486	36	15.56	+	2.31	4.97E-06	2.15E-04
mononuclear cell differentiation (GO:1903131)	338	25	10.82	+	2.31	1.14E-04	3.28E-03
locomotion (GO:0040011)	367	27	11.75	+	2.30	6.36E-05	1.98E-03
glial cell differentiation (GO:0010001)	218	16	6.98	+	2.29	2.63E-03	4.06E-02
positive regulation of multicellular organismal process (GO:0051240)	1651	121	52.87	+	2.29	3.21E-18	1.58E-15
regulation of protein kinase activity (GO:0045859)	464	34	14.86	+	2.29	1.10E-05	4.45E-04
negative regulation of cell population proliferation (GO:0008285)	710	52	22.74	+	2.29	2.86E-08	2.14E-06
regulation of cellular component biogenesis (GO:0044087)	973	71	31.16	+	2.28	8.10E-11	1.10E-08
positive regulation of phosphorus metabolic process (GO:0010562)	700	51	22.41	+	2.28	7.04E-08	4.75E-06
positive regulation of phosphate metabolic process (GO:0045937)	700	51	22.41	+	2.28	7.04E-08	4.73E-06
positive regulation of transport (GO:0051050)	851	62	27.25	+	2.28	1.65E-09	1.66E-07
leukocyte mediated immunity (GO:0002443)	304	22	9.73	+	2.26	3.90E-04	8.85E-03
regulation of endopeptidase activity (GO:0052548)	277	20	8.87	+	2.25	7.60E-04	1.53E-02
positive regulation of secretion by cell (GO:1903532)	291	21	9.32	+	2.25	5.53E-04	1.18E-02
regulation of lipid metabolic process (GO:0019216)	319	23	10.21	+	2.25	2.96E-04	7.03E-03
cellular anatomical entity morphogenesis (GO:0032989)	611	44	19.57	+	2.25	5.59E-07	3.16E-05
regulation of protein serine/threonine kinase activity (GO:0071900)	264	19	8.45	+	2.25	1.08E-03	1.93E-02
regulation of protein secretion (GO:0050708)	264	19	8.45	+	2.25	1.08E-03	1.93E-02
carboxylic acid biosynthetic process (GO:0046394)	278	20	8.90	+	2.25	7.86E-04	1.56E-02
positive regulation of transferase activity (GO:0051347)	376	27	12.04	+	2.24	9.13E-05	2.70E-03
glycoprotein biosynthetic process (GO:0009101)	279	20	8.93	+	2.24	8.13E-04	1.60E-02
intracellular signal transduction (GO:0035556)	1509	108	48.32	+	2.24	1.70E-15	5.29E-13
anatomical structure maturation (GO:0071695)	238	17	7.62	+	2.23	2.20E-03	3.51E-02
