Analysis Type:	PANTHER Overrepresentation Test (Released 20240226)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.10536401 Released 2024-01-17
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20580)	upload_1 (951)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
positive regulation of metabolic process (GO:0009893)	3706	258	171.25	+	1.51	1.02E-12	1.33E-10
positive regulation of developmental process (GO:0051094)	1336	93	61.74	+	1.51	6.61E-05	2.46E-03
cytoskeleton organization (GO:0007010)	1252	87	57.85	+	1.50	1.26E-04	4.40E-03
response to organonitrogen compound (GO:0010243)	943	65	43.58	+	1.49	1.41E-03	3.82E-02
negative regulation of cellular process (GO:0048523)	4833	332	223.33	+	1.49	3.36E-16	6.74E-14
regulation of localization (GO:0032879)	2021	137	93.39	+	1.47	4.30E-06	2.14E-04
regulation of transport (GO:0051049)	1610	109	74.40	+	1.47	5.41E-05	2.09E-03
positive regulation of protein metabolic process (GO:0051247)	1243	84	57.44	+	1.46	4.65E-04	1.43E-02
negative regulation of biological process (GO:0048519)	5193	350	239.97	+	1.46	6.46E-16	1.26E-13
negative regulation of macromolecule biosynthetic process (GO:0010558)	2055	138	94.96	+	1.45	6.62E-06	3.19E-04
negative regulation of biosynthetic process (GO:0009890)	2121	140	98.01	+	1.43	1.18E-05	5.32E-04
negative regulation of cellular biosynthetic process (GO:0031327)	2107	139	97.36	+	1.43	1.41E-05	6.16E-04
negative regulation of cellular metabolic process (GO:0031324)	2564	168	118.48	+	1.42	2.10E-06	1.11E-04
response to stimulus (GO:0050896)	8143	532	376.29	+	1.41	2.13E-25	1.41E-22
cellular response to stimulus (GO:0051716)	6422	419	296.76	+	1.41	1.72E-17	4.17E-15
negative regulation of RNA biosynthetic process (GO:1902679)	1289	84	59.56	+	1.41	1.56E-03	4.10E-02
negative regulation of macromolecule metabolic process (GO:0010605)	2601	168	120.19	+	1.40	5.05E-06	2.48E-04
response to endogenous stimulus (GO:0009719)	1410	91	65.16	+	1.40	1.23E-03	3.36E-02
regulation of cellular component organization (GO:0051128)	2441	157	112.80	+	1.39	1.50E-05	6.53E-04
phosphate-containing compound metabolic process (GO:0006796)	1707	109	78.88	+	1.38	5.76E-04	1.72E-02
positive regulation of nitrogen compound metabolic process (GO:0051173)	2987	190	138.03	+	1.38	2.84E-06	1.44E-04
negative regulation of metabolic process (GO:0009892)	2820	179	130.31	+	1.37	6.66E-06	3.20E-04
phosphorus metabolic process (GO:0006793)	1733	110	80.08	+	1.37	6.31E-04	1.86E-02
cell differentiation (GO:0030154)	3643	229	168.34	+	1.36	4.13E-07	2.50E-05
cellular developmental process (GO:0048869)	3646	229	168.48	+	1.36	4.18E-07	2.52E-05
positive regulation of nucleobase-containing compound metabolic process (GO:0045935)	2048	128	94.64	+	1.35	3.74E-04	1.18E-02
negative regulation of nitrogen compound metabolic process (GO:0051172)	2180	135	100.74	+	1.34	3.61E-04	1.15E-02
regulation of macromolecule biosynthetic process (GO:0010556)	4994	307	230.77	+	1.33	1.11E-08	9.34E-07
positive regulation of RNA metabolic process (GO:0051254)	1842	113	85.12	+	1.33	1.67E-03	4.34E-02
regulation of gene expression (GO:0010468)	4866	296	224.86	+	1.32	6.47E-08	4.67E-06
anatomical structure development (GO:0048856)	5216	316	241.03	+	1.31	2.83E-08	2.20E-06
regulation of cellular biosynthetic process (GO:0031326)	5127	309	236.92	+	1.30	7.15E-08	5.09E-06
regulation of biosynthetic process (GO:0009889)	5158	310	238.35	+	1.30	9.34E-08	6.44E-06
multicellular organismal process (GO:0032501)	6721	402	310.58	+	1.29	2.55E-10	2.65E-08
developmental process (GO:0032502)	5723	342	264.46	+	1.29	2.03E-08	1.62E-06
regulation of biological quality (GO:0065008)	2842	168	131.33	+	1.28	6.21E-04	1.83E-02
system development (GO:0048731)	3541	209	163.63	+	1.28	1.06E-04	3.77E-03
regulation of macromolecule metabolic process (GO:0060255)	6001	354	277.31	+	1.28	4.82E-08	3.62E-06
regulation of cellular process (GO:0050794)	11106	653	513.21	+	1.27	4.25E-21	1.58E-18
regulation of cellular metabolic process (GO:0031323)	6021	351	278.23	+	1.26	2.06E-07	1.30E-05
regulation of metabolic process (GO:0019222)	6526	377	301.57	+	1.25	1.22E-07	8.05E-06
response to chemical (GO:0042221)	3765	217	173.98	+	1.25	3.05E-04	9.78E-03
regulation of biological process (GO:0050789)	11661	670	538.85	+	1.24	4.11E-19	1.23E-16
multicellular organism development (GO:0007275)	3957	226	182.85	+	1.24	3.95E-04	1.22E-02
biological regulation (GO:0065007)	12079	687	558.17	+	1.23	8.27E-19	2.38E-16
localization (GO:0051179)	4492	249	207.57	+	1.20	1.12E-03	3.12E-02
regulation of nitrogen compound metabolic process (GO:0051171)	5445	296	251.61	+	1.18	1.05E-03	2.93E-02
regulation of primary metabolic process (GO:0080090)	5593	303	258.45	+	1.17	1.02E-03	2.86E-02
cellular component organization (GO:0016043)	5615	302	259.47	+	1.16	1.74E-03	4.48E-02
cellular process (GO:0009987)	14881	762	687.65	+	1.11	1.55E-08	1.28E-06
biological_process (GO:0008150)	17695	865	817.68	+	1.06	2.56E-06	1.32E-04
heterocycle metabolic process (GO:0046483)	2916	102	134.75	-	.76	1.41E-03	3.79E-02
organic cyclic compound metabolic process (GO:1901360)	3210	111	148.33	-	.75	4.95E-04	1.50E-02
cellular nitrogen compound metabolic process (GO:0034641)	3271	109	151.15	-	.72	9.08E-05	3.29E-03
Unclassified (UNCLASSIFIED)	2885	86	133.32	-	.65	2.56E-06	1.32E-04
RNA processing (GO:0006396)	875	19	40.43	-	.47	1.43E-04	4.89E-03
detection of stimulus (GO:0051606)	679	12	31.38	-	.38	8.21E-05	3.01E-03
ribonucleoprotein complex biogenesis (GO:0022613)	460	8	21.26	-	.38	1.49E-03	3.97E-02
ncRNA processing (GO:0034470)	417	6	19.27	-	.31	5.62E-04	1.69E-02
ribosome biogenesis (GO:0042254)	313	4	14.46	-	.28	1.68E-03	4.37E-02
sensory perception of chemical stimulus (GO:0007606)	535	5	24.72	-	.20	1.81E-06	9.62E-05
detection of stimulus involved in sensory perception (GO:0050906)	556	5	25.69	-	.19	9.35E-07	5.28E-05
detection of chemical stimulus (GO:0009593)	516	3	23.84	-	.13	1.05E-07	7.09E-06
sensory perception of smell (GO:0007608)	459	1	21.21	-	.05	1.34E-08	1.11E-06
detection of chemical stimulus involved in sensory perception (GO:0050907)	481	1	22.23	-	.04	4.08E-09	3.62E-07
detection of chemical stimulus involved in sensory perception of smell (GO:0050911)	433	0	20.01	-	 < 0.01	1.90E-09	1.76E-07
